  33.71
 165.00
 577320463
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1989 08 09 12	48384.00	0.00	535.07	0.00	20.62	20.62	1738.11
1989 08 10 12	48384.00	0.06	352.79	0.00	23.15	23.15	2177.85
1989 08 11 12	48038.40	0.05	501.30	0.00	24.01	24.01	2196.26
1989 08 12 12	48038.40	2.41	536.57	0.00	23.44	23.44	2008.14
1989 08 13 12	48038.40	0.24	513.25	0.00	24.64	24.64	2096.42
1989 08 14 12	47692.80	0.87	448.33	0.00	24.41	24.41	2194.15
1989 08 15 12	47692.80	15.42	274.76	0.00	24.49	24.49	2399.32
1989 08 16 12	47692.80	3.39	405.04	0.00	24.93	24.93	2475.94
1989 08 17 12	47347.20	2.79	361.56	0.00	25.49	25.49	2447.87
1989 08 18 12	47347.20	0.55	455.89	0.00	25.71	25.71	2485.02
1989 08 19 12	47347.20	0.01	320.04	0.00	25.80	25.80	2539.42
1989 08 20 12	47001.60	0.06	355.46	0.00	25.80	25.80	2612.91
1989 08 21 12	47001.60	0.26	421.62	0.00	27.63	27.63	2865.74
1989 08 22 12	47001.60	0.00	355.06	0.00	27.90	27.90	2970.41
1989 08 23 12	46656.00	0.06	394.82	0.00	28.15	28.15	2992.04
1989 08 24 12	46656.00	0.18	392.86	0.00	28.07	28.07	3012.15
1989 08 25 12	46656.00	2.56	416.38	0.00	28.15	28.15	2925.50
1989 08 26 12	46310.40	0.40	373.38	0.00	28.68	28.68	2949.43
1989 08 27 12	46310.40	0.82	372.75	0.00	28.16	28.16	2828.44
1989 08 28 12	46310.40	0.06	404.98	0.00	29.02	29.02	2975.92
1989 08 29 12	45964.80	2.45	321.62	0.00	27.77	27.77	3035.67
1989 08 30 12	45964.80	12.67	349.50	0.00	27.35	27.35	2891.00
1989 08 31 12	45964.80	8.82	322.51	0.00	27.07	27.07	2925.09
1989 09 01 12	45619.20	1.40	277.07	0.00	28.14	28.14	3092.53
1989 09 02 12	45619.20	0.78	332.73	0.00	28.55	28.55	2992.72
1989 09 03 12	45334.21	0.09	540.86	0.00	25.62	25.62	2461.33
1989 09 04 12	45273.60	0.00	496.90	0.00	24.81	24.81	2459.52
1989 09 05 12	45273.60	0.00	475.92	0.00	23.77	23.77	2239.12
1989 09 06 12	44928.00	0.00	516.21	0.00	24.79	24.79	2357.02
1989 09 07 12	44928.00	0.00	452.08	0.00	26.56	26.56	2530.01
1989 09 08 12	44928.00	0.04	415.90	0.00	27.13	27.13	2746.13
1989 09 09 12	44582.40	0.03	245.45	0.00	26.87	26.87	2930.33
1989 09 10 12	44582.40	8.68	280.70	0.00	26.68	26.68	2861.20
1989 09 11 12	44582.40	6.69	316.10	0.00	25.67	25.67	2673.77
1989 09 12 12	44236.80	5.46	287.00	0.00	25.60	25.60	2600.60
1989 09 13 12	44236.80	0.70	316.89	0.00	25.96	25.96	2588.86
1989 09 14 12	43891.20	8.33	320.27	0.00	26.10	26.10	2668.54
1989 09 15 12	43891.20	0.33	230.01	0.00	21.93	21.93	2266.96
1989 09 16 12	43891.20	0.01	514.60	0.00	20.10	20.10	1846.82
1989 09 17 12	43545.60	0.00	524.13	0.00	20.65	20.65	1779.56
1989 09 18 12	43545.60	0.00	526.36	0.00	19.92	19.92	1647.69
1989 09 19 12	43545.60	0.00	415.08	0.00	20.16	20.16	1732.56
1989 09 20 12	43200.00	0.05	488.22	0.00	21.16	21.16	1854.62
1989 09 21 12	43200.00	0.74	239.82	0.00	20.96	20.96	1954.48
1989 09 22 12	42854.40	16.18	229.69	0.00	18.70	18.70	2003.85
1989 09 23 12	42854.40	4.03	273.19	0.00	18.33	18.33	1894.02
1989 09 24 12	42854.40	1.43	311.73	0.00	12.10	12.10	1184.45
1989 09 25 12	42508.80	22.70	183.35	0.00	12.86	12.86	1368.35
1989 09 26 12	42508.80	3.30	229.20	0.00	16.64	16.64	1695.19
1989 09 27 12	42508.80	0.00	214.67	0.00	18.67	18.67	1731.55
1989 09 28 12	42163.20	33.42	196.57	0.00	14.98	14.98	1551.26
1989 09 29 12	42163.20	25.58	168.10	0.00	16.57	16.57	1758.95
1989 09 30 12	41817.60	43.12	233.59	0.00	19.42	19.42	2154.12
1989 10 01 12	41817.60	14.80	324.63	0.00	18.01	18.01	1896.23
1989 10 02 12	41817.60	0.11	496.31	0.00	21.60	21.60	2177.14
1989 10 03 12	41472.00	0.00	501.72	0.00	22.77	22.77	2215.81
1989 10 04 12	41472.00	0.00	501.98	0.00	17.97	17.97	1541.24
1989 10 05 12	41472.00	0.00	500.15	0.00	16.71	16.71	1379.03
1989 10 06 12	41126.40	0.00	488.13	0.00	20.73	20.73	1807.83
1989 10 07 12	41126.40	0.00	328.33	0.00	20.19	20.19	1864.08
1989 10 08 12	41065.79	0.00	503.37	0.00	13.92	13.92	1133.74
1989 10 09 12	40780.80	0.00	499.15	0.00	12.10	12.10	948.46
1989 10 10 12	40780.80	0.00	489.42	0.00	13.44	13.44	972.45
1989 10 11 12	40435.20	0.00	488.26	0.00	17.73	17.73	1355.25
1989 10 12 12	40435.20	0.05	481.23	0.00	19.03	19.03	1568.36
1989 10 13 12	40435.20	0.00	455.59	0.00	20.96	20.96	1736.92
1989 10 14 12	40089.60	0.00	474.10	0.00	20.72	20.72	1864.41
1989 10 15 12	40089.60	0.00	460.08	0.00	21.43	21.43	1893.75
1989 10 16 12	40089.60	2.64	363.64	0.00	23.61	23.61	2384.06
1989 10 17 12	39744.00	12.41	273.50	0.00	23.23	23.23	2406.62
1989 10 18 12	39744.00	2.19	285.04	0.00	14.70	14.70	1479.79
1989 10 19 12	39744.00	0.37	201.94	0.00	6.31	6.31	821.42
1989 10 20 12	39398.40	0.06	326.63	0.00	4.59	4.59	626.99
1989 10 21 12	39398.40	0.00	463.29	0.00	7.01	7.01	755.42
1989 10 22 12	39398.40	0.00	394.78	0.00	13.71	13.71	1232.16
1989 10 23 12	39052.80	0.00	263.46	0.00	16.66	16.66	1435.65
1989 10 24 12	39052.80	0.00	449.73	0.00	15.53	15.53	1212.58
1989 10 25 12	39052.80	0.00	449.99	0.00	14.49	14.49	1052.07
1989 10 26 12	38707.20	0.00	450.94	0.00	14.18	14.18	1033.74
1989 10 27 12	38707.20	0.00	452.18	0.00	14.21	14.21	1029.63
1989 10 28 12	38707.20	0.00	383.99	0.00	14.79	14.79	1190.84
1989 10 29 12	38361.60	0.00	422.81	0.00	15.71	15.71	1162.46
1989 10 30 12	38361.60	0.06	416.63	0.00	15.86	15.86	1220.47
1989 10 31 12	38361.60	0.80	362.43	0.00	17.04	17.04	1414.23
1989 11 01 12	38016.00	0.07	324.59	0.00	11.07	11.07	940.08
1989 11 02 12	38016.00	0.03	342.14	0.00	12.33	12.33	938.28
1989 11 03 12	38016.00	0.00	394.22	0.00	7.32	7.32	739.81
1989 11 04 12	37749.06	0.27	390.82	0.00	7.46	7.46	659.13
1989 11 05 12	37670.40	0.50	370.32	0.00	11.57	11.57	1012.30
1989 11 06 12	37670.40	46.60	182.29	0.00	17.50	17.50	1823.09
1989 11 07 12	37660.83	9.11	211.97	0.00	17.57	17.57	1859.29
1989 11 08 12	37324.80	9.98	218.57	0.00	18.35	18.35	1871.46
1989 11 09 12	37324.80	2.60	383.53	0.00	14.38	14.38	1159.83
1989 11 10 12	37324.80	0.00	360.62	0.00	10.92	10.92	901.98
1989 11 11 12	37132.62	0.00	365.57	0.00	14.28	14.28	1099.45
1989 11 12 12	36979.20	0.06	362.59	0.00	15.15	15.15	1200.61
1989 11 13 12	36979.20	0.09	357.85	0.00	14.94	14.94	1241.36
1989 11 14 12	36979.20	17.40	171.23	0.00	17.44	17.44	1745.34
1989 11 15 12	36712.26	6.09	265.62	0.00	19.54	19.54	1981.01
1989 11 16 12	36633.60	5.66	214.41	0.00	8.10	8.10	895.45
1989 11 17 12	36633.60	0.00	350.50	0.00	2.18	2.18	450.84
1989 11 18 12	36633.60	0.00	358.39	0.00	4.97	4.97	543.65
1989 11 19 12	36441.43	0.00	339.60	0.00	9.32	9.32	714.06
1989 11 20 12	36288.00	0.21	346.57	0.00	10.58	10.58	984.22
1989 11 21 12	36288.00	3.73	325.74	0.00	12.07	12.07	1085.69
1989 11 22 12	36288.00	29.11	105.98	0.00	10.48	10.48	1082.90
1989 11 23 12	36278.43	13.90	326.38	0.00	5.42	5.42	747.40
1989 11 24 12	36021.06	0.00	348.44	0.00	3.05	3.05	512.82
1989 11 25 12	35942.40	0.00	316.11	0.00	6.33	6.33	807.34
1989 11 26 12	35942.40	0.79	136.73	0.00	14.43	14.43	1512.29
1989 11 27 12	35942.40	0.71	203.05	0.00	18.55	18.55	1913.95
1989 11 28 12	35942.40	6.79	276.20	0.00	16.93	16.93	1650.65
1989 11 29 12	35819.48	0.05	336.11	0.00	4.56	4.56	624.99
1989 11 30 12	35613.81	0.00	339.93	0.00	2.48	2.48	452.25
1989 12 01 12	35596.80	0.00	303.23	0.00	5.95	5.95	566.57
1989 12 02 12	35596.80	0.00	310.41	0.00	8.76	8.76	718.07
1989 12 03 12	35596.80	0.00	333.76	0.00	1.09	1.09	427.39
1989 12 04 12	35596.80	0.00	324.42	0.00	-0.03	-0.03	360.69
1989 12 05 12	35596.80	0.00	317.69	0.00	3.36	3.36	546.30
1989 12 06 12	35473.89	0.46	206.07	0.00	7.95	7.95	963.95
1989 12 07 12	35329.86	6.32	81.01	0.00	11.55	11.55	1287.30
1989 12 08 12	35251.20	15.01	86.71	0.00	8.37	8.37	1050.65
1989 12 09 12	35251.20	5.55	213.10	0.00	1.98	1.98	617.99
1989 12 10 12	35251.20	1.46	315.91	0.00	3.04	3.04	631.84
1989 12 11 12	35251.20	0.12	154.75	0.00	7.19	7.19	916.52
1989 12 12 12	35251.20	12.88	86.68	0.00	4.92	4.92	800.72
1989 12 13 12	35251.20	0.00	322.57	0.00	-1.22	-1.22	380.16
1989 12 14 12	35251.20	0.08	259.90	0.00	0.74	0.74	436.16
1989 12 15 12	35251.20	0.11	245.31	0.00	3.37	3.37	632.51
1989 12 16 12	35251.20	0.00	253.42	0.00	-6.77	-6.77	197.29
1989 12 17 12	35251.20	0.01	220.25	0.00	-2.67	-2.67	202.53
1989 12 18 12	35251.20	3.37	117.73	0.00	-0.20	-0.20	465.75
1989 12 19 12	35251.20	7.96	135.08	0.00	2.16	2.16	648.09
1989 12 20 12	35251.20	0.00	320.44	0.00	-0.31	-0.31	440.59
1989 12 21 12	35251.20	0.00	313.17	0.00	-0.75	-0.75	392.63
1989 12 22 12	35251.20	0.00	180.92	0.00	-12.09	-12.09	128.71
1989 12 23 12	35251.20	0.00	328.34	0.00	-14.11	-14.11	106.79
1989 12 24 12	35251.20	0.00	265.07	0.00	-11.49	-11.49	148.71
1989 12 25 12	35251.20	0.00	177.82	0.00	-3.35	-3.35	242.78
1989 12 26 12	35251.20	0.00	260.06	0.00	1.20	1.20	520.53
1989 12 27 12	35251.20	0.00	307.99	0.00	3.91	3.91	593.95
1989 12 28 12	35251.20	0.83	198.99	0.00	4.80	4.80	654.06
1989 12 29 12	35251.20	6.20	79.91	0.00	7.07	7.07	918.85
1989 12 30 12	35251.20	13.04	140.16	0.00	13.27	13.27	1446.23
1989 12 31 12	35251.20	24.38	138.25	0.00	14.73	14.73	1572.37
1990 01 01 12	35251.20	0.12	293.31	0.00	4.16	4.16	647.40
1990 01 02 12	35251.20	2.50	164.10	0.00	3.41	3.41	558.29
1990 01 03 12	35268.21	0.74	267.40	0.00	6.39	6.39	767.49
1990 01 04 12	35404.62	30.61	107.23	0.00	12.48	12.48	1377.13
1990 01 05 12	35536.19	4.69	76.46	0.00	10.34	10.34	1193.60
1990 01 06 12	35596.80	16.34	96.63	0.00	9.45	9.45	1075.08
1990 01 07 12	35596.80	15.54	61.10	0.00	6.97	6.97	919.82
1990 01 08 12	35596.80	8.49	302.01	0.00	7.66	7.66	914.84
1990 01 09 12	35596.80	0.16	311.83	0.00	6.62	6.62	836.02
1990 01 10 12	35596.80	0.00	318.35	0.00	8.37	8.37	874.66
1990 01 11 12	35675.46	0.00	315.34	0.00	8.27	8.27	834.90
1990 01 12 12	35932.83	0.00	329.66	0.00	4.52	4.52	565.59
1990 01 13 12	35942.40	0.00	330.38	0.00	0.32	0.32	385.92
1990 01 14 12	35942.40	0.00	151.00	0.00	3.16	3.16	466.49
1990 01 15 12	35942.40	0.00	124.88	0.00	6.93	6.93	854.24
1990 01 16 12	35942.40	0.00	300.37	0.00	11.03	11.03	1093.75
1990 01 17 12	36165.09	3.82	115.60	0.00	14.22	14.22	1446.40
1990 01 18 12	36288.00	25.51	130.77	0.00	15.51	15.51	1632.74
1990 01 19 12	36288.00	1.47	261.19	0.00	15.25	15.25	1564.42
1990 01 20 12	36288.00	30.12	129.64	0.00	16.13	16.13	1707.34
1990 01 21 12	36305.01	10.19	305.13	0.00	11.30	11.30	1147.74
1990 01 22 12	36624.03	0.54	341.03	0.00	6.35	6.35	726.39
1990 01 23 12	36633.60	0.00	267.27	0.00	7.56	7.56	782.83
1990 01 24 12	36633.60	22.80	79.20	0.00	12.23	12.23	1309.01
1990 01 25 12	36633.60	13.84	289.97	0.00	13.56	13.56	1386.74
1990 01 26 12	36918.59	0.00	351.39	0.00	4.13	4.13	544.93
1990 01 27 12	36979.20	5.80	325.60	0.00	5.11	5.11	663.68
1990 01 28 12	36979.20	0.98	112.09	0.00	8.30	8.30	948.47
1990 01 29 12	36979.20	21.79	234.10	0.00	10.91	10.91	1188.58
1990 01 30 12	37315.23	0.00	294.12	0.00	6.12	6.12	684.85
1990 01 31 12	37324.80	0.00	350.37	0.00	8.71	8.71	801.08
1990 02 01 12	37324.80	0.26	322.45	0.00	11.17	11.17	1096.26
1990 02 02 12	37403.46	5.82	217.59	0.00	17.13	17.13	1754.52
1990 02 03 12	37670.40	26.77	153.69	0.00	18.25	18.25	1963.15
1990 02 04 12	37670.40	18.48	321.68	0.00	13.73	13.73	1413.83
1990 02 05 12	37670.40	0.19	381.87	0.00	5.95	5.95	722.58
1990 02 06 12	38006.43	0.50	222.17	0.00	9.43	9.43	915.11
1990 02 07 12	38016.00	0.58	375.30	0.00	12.76	12.76	1253.47
1990 02 08 12	38016.00	2.70	182.86	0.00	12.30	12.30	1140.14
1990 02 09 12	38238.69	13.54	190.40	0.00	15.63	15.63	1646.48
1990 02 10 12	38361.60	34.77	155.38	0.00	13.99	13.99	1472.58
1990 02 11 12	38361.60	0.02	390.58	0.00	8.27	8.27	804.49
1990 02 12 12	38440.26	0.00	391.96	0.00	11.03	11.03	917.83
1990 02 13 12	38707.20	1.15	344.33	0.00	11.96	11.96	1149.25
1990 02 14 12	38707.20	0.32	346.21	0.00	16.56	16.56	1647.38
1990 02 15 12	38724.21	64.31	164.32	0.00	18.12	18.12	1916.52
1990 02 16 12	39052.80	51.59	149.18	0.00	16.56	16.56	1751.37
1990 02 17 12	39052.80	2.20	361.70	0.00	7.23	7.23	784.76
1990 02 18 12	39069.81	1.03	158.25	0.00	6.56	6.56	751.30
1990 02 19 12	39398.40	5.06	297.91	0.00	10.37	10.37	1085.59
1990 02 20 12	39398.40	0.00	421.23	0.00	8.18	8.18	764.67
1990 02 21 12	39415.41	1.12	270.24	0.00	9.31	9.31	900.84
1990 02 22 12	39744.00	25.54	268.59	0.00	14.21	14.21	1400.95
1990 02 23 12	39744.00	0.97	238.27	0.00	10.50	10.50	1051.57
1990 02 24 12	39897.43	0.00	425.34	0.00	6.53	6.53	694.65
1990 02 25 12	40089.60	0.00	428.56	0.00	2.11	2.11	404.59
1990 02 26 12	40089.60	0.00	426.54	0.00	4.19	4.19	440.88
1990 02 27 12	40425.63	0.00	421.66	0.00	8.14	8.14	797.67
1990 02 28 12	40435.20	0.00	341.65	0.00	13.35	13.35	1128.76
1990 03 01 12	40435.20	6.58	114.76	0.00	11.61	11.61	1157.34
1990 03 02 12	40780.80	22.84	104.87	0.00	11.58	11.58	1295.43
1990 03 03 12	40780.80	1.37	475.77	0.00	9.78	9.78	947.22
1990 03 04 12	40780.80	0.00	483.43	0.00	7.76	7.76	683.72
1990 03 05 12	41126.40	0.00	474.34	0.00	10.48	10.48	740.85
1990 03 06 12	41126.40	0.00	309.49	0.00	12.78	12.78	949.02
1990 03 07 12	41126.40	1.43	156.64	0.00	15.01	15.01	1308.49
1990 03 08 12	41472.00	15.25	109.27	0.00	11.79	11.79	1250.90
1990 03 09 12	41472.00	3.12	214.56	0.00	15.90	15.90	1594.84
1990 03 10 12	41817.60	0.00	373.65	0.00	20.49	20.49	1940.11
1990 03 11 12	41817.60	0.00	471.96	0.00	20.76	20.76	1885.49
1990 03 12 12	41817.60	0.00	435.57	0.00	19.77	19.77	1798.15
1990 03 13 12	42163.20	0.00	476.40	0.00	20.06	20.06	1748.94
1990 03 14 12	42163.20	0.00	435.46	0.00	18.93	18.93	1688.41
1990 03 15 12	42163.20	38.90	196.19	0.00	18.79	18.79	1956.26
1990 03 16 12	42508.80	59.86	135.16	0.00	13.18	13.18	1436.58
1990 03 17 12	42508.80	9.72	476.21	0.00	12.01	12.01	1107.96
1990 03 18 12	42844.83	0.00	488.87	0.00	12.08	12.08	874.12
1990 03 19 12	42854.40	0.00	430.06	0.00	11.44	11.44	945.82
1990 03 20 12	42854.40	0.00	511.14	0.00	3.90	3.90	533.45
1990 03 21 12	43200.00	0.00	502.76	0.00	5.86	5.86	600.29
1990 03 22 12	43200.00	0.08	499.79	0.00	9.81	9.81	862.34
1990 03 23 12	43200.00	0.00	419.32	0.00	15.03	15.03	1309.21
1990 03 24 12	43545.60	0.00	404.28	0.00	17.30	17.30	1483.93
1990 03 25 12	43545.60	0.18	222.27	0.00	11.42	11.42	1136.35
1990 03 26 12	43555.17	5.98	99.03	0.00	8.30	8.30	982.76
1990 03 27 12	43891.20	0.00	515.83	0.00	7.49	7.49	727.87
1990 03 28 12	43891.20	3.29	126.85	0.00	10.55	10.55	1040.40
1990 03 29 12	44236.80	9.35	229.59	0.00	14.71	14.71	1525.49
1990 03 30 12	44236.80	11.22	310.91	0.00	16.93	16.93	1656.57
1990 03 31 12	44236.80	2.13	413.08	0.00	19.30	19.30	1802.79
1990 04 01 12	44582.40	0.58	417.44	0.00	20.37	20.37	1756.31
1990 04 02 12	44582.40	0.34	460.27	0.00	18.82	18.82	1578.79
1990 04 03 12	44582.40	0.00	451.42	0.00	8.24	8.24	799.89
1990 04 04 12	44928.00	0.07	515.25	0.00	9.44	9.44	829.93
1990 04 05 12	44928.00	0.00	492.90	0.00	13.77	13.77	1116.75
1990 04 06 12	45273.60	8.88	119.99	0.00	14.59	14.59	1412.40
1990 04 07 12	45273.60	0.68	532.52	0.00	5.61	5.61	608.25
1990 04 08 12	45273.60	0.00	516.99	0.00	7.34	7.34	603.38
1990 04 09 12	45619.20	0.00	369.17	0.00	12.26	12.26	953.26
1990 04 10 12	45619.20	8.22	267.88	0.00	16.57	16.57	1588.55
1990 04 11 12	45619.20	1.65	487.46	0.00	12.47	12.47	1122.53
1990 04 12 12	45964.80	0.00	426.09	0.00	9.51	9.51	815.60
1990 04 13 12	45964.80	0.00	514.03	0.00	9.80	9.80	801.96
1990 04 14 12	45974.37	3.29	331.47	0.00	14.21	14.21	1282.51
1990 04 15 12	46310.40	3.75	521.21	0.00	14.88	14.88	1318.34
1990 04 16 12	46310.40	0.72	273.45	0.00	16.22	16.22	1257.96
1990 04 17 12	46502.57	5.09	323.66	0.00	16.77	16.77	1550.48
1990 04 18 12	46656.00	3.33	503.36	0.00	11.68	11.68	1057.30
1990 04 19 12	46656.00	0.00	396.80	0.00	15.38	15.38	1317.57
1990 04 20 12	46984.59	0.14	423.39	0.00	18.55	18.55	1738.89
1990 04 21 12	47001.60	12.07	280.40	0.00	19.97	19.97	1975.34
1990 04 22 12	47001.60	0.00	322.17	0.00	21.09	21.09	1996.00
1990 04 23 12	47330.19	0.00	497.98	0.00	21.78	21.78	1887.88
1990 04 24 12	47347.20	0.60	451.73	0.00	22.26	22.26	1931.69
1990 04 25 12	47347.20	0.00	508.21	0.00	21.34	21.34	1878.42
1990 04 26 12	47675.79	0.00	518.21	0.00	21.94	21.94	1881.67
1990 04 27 12	47692.80	5.21	211.70	0.00	18.89	18.89	1884.71
1990 04 28 12	47692.80	15.28	332.18	0.00	18.87	18.87	1778.57
1990 04 29 12	47959.74	0.00	518.76	0.00	17.82	17.82	1481.06
1990 04 30 12	48038.40	0.40	500.10	0.00	23.56	23.56	2332.09
1990 05 01 12	48038.40	4.50	494.01	0.00	24.84	24.84	2446.59
1990 05 02 12	48161.31	1.14	483.74	0.00	24.31	24.31	2320.11
1990 05 03 12	48384.00	0.01	480.75	0.00	24.16	24.16	2251.82
1990 05 04 12	48384.00	3.31	422.43	0.00	24.14	24.14	2394.42
1990 05 05 12	48393.57	1.35	468.99	0.00	20.42	20.42	2023.90
1990 05 06 12	48729.60	0.00	589.69	0.00	13.33	13.33	1162.86
1990 05 07 12	48729.60	0.00	591.74	0.00	17.22	17.22	1275.37
1990 05 08 12	48729.60	0.11	454.73	0.00	17.63	17.63	1355.16
1990 05 09 12	48996.54	27.53	333.83	0.00	19.28	19.28	1948.99
1990 05 10 12	49075.20	1.25	589.98	0.00	18.04	18.04	1617.19
1990 05 11 12	49075.20	0.72	351.88	0.00	14.47	14.47	1104.59
1990 05 12 12	49084.77	7.78	325.21	0.00	17.38	17.38	1582.20
1990 05 13 12	49420.80	12.15	527.67	0.00	20.04	20.04	1876.83
1990 05 14 12	49420.80	0.00	575.30	0.00	22.30	22.30	1870.94
1990 05 15 12	49420.80	0.00	472.15	0.00	24.23	24.23	2319.43
1990 05 16 12	49481.41	0.35	495.17	0.00	25.41	25.41	2563.72
1990 05 17 12	49766.40	1.05	554.45	0.00	24.63	24.63	2392.40
1990 05 18 12	49766.40	0.00	584.45	0.00	19.59	19.59	1361.72
1990 05 19 12	49766.40	1.85	388.69	0.00	21.77	21.77	1785.31
1990 05 20 12	49775.97	28.49	338.80	0.00	23.79	23.79	2478.50
1990 05 21 12	50094.99	32.39	285.31	0.00	23.00	23.00	2395.93
1990 05 22 12	50112.00	0.55	542.72	0.00	19.40	19.40	1781.97
1990 05 23 12	50112.00	0.12	516.53	0.00	16.52	16.52	1474.71
1990 05 24 12	50112.00	0.00	505.52	0.00	20.33	20.33	1725.35
1990 05 25 12	50234.91	0.00	517.62	0.00	22.21	22.21	2048.09
1990 05 26 12	50457.60	0.18	432.24	0.00	24.10	24.10	2366.12
1990 05 27 12	50457.60	15.92	323.98	0.00	24.14	24.14	2444.59
1990 05 28 12	50457.60	2.42	406.29	0.00	22.94	22.94	2234.06
1990 05 29 12	50457.60	0.12	585.59	0.00	19.96	19.96	1740.20
1990 05 30 12	50467.17	0.03	366.17	0.00	20.38	20.38	1722.05
1990 05 31 12	50724.54	1.02	294.60	0.00	20.16	20.16	1961.05
1990 06 01 12	50803.20	0.85	337.61	0.00	23.03	23.03	2307.40
1990 06 02 12	50803.20	1.42	463.74	0.00	25.20	25.20	2594.52
1990 06 03 12	50803.20	33.29	270.70	0.00	24.69	24.69	2685.73
1990 06 04 12	50803.20	0.93	580.73	0.00	22.74	22.74	2233.82
1990 06 05 12	50803.20	0.00	597.70	0.00	19.04	19.04	1656.59
1990 06 06 12	50812.77	0.00	447.75	0.00	23.80	23.80	2320.33
1990 06 07 12	50995.38	0.00	399.51	0.00	27.30	27.30	2919.29
1990 06 08 12	51131.79	0.00	518.90	0.00	27.63	27.63	2861.31
1990 06 09 12	51148.80	2.31	472.72	0.00	27.01	27.01	2651.08
1990 06 10 12	51148.80	5.00	466.60	0.00	27.49	27.49	2763.78
1990 06 11 12	51148.80	0.00	575.72	0.00	23.29	23.29	1986.58
1990 06 12 12	51148.80	0.00	583.26	0.00	23.15	23.15	1867.78
1990 06 13 12	51148.80	0.00	494.72	0.00	25.84	25.84	2402.46
1990 06 14 12	51148.80	0.18	485.02	0.00	26.69	26.69	2769.17
1990 06 15 12	51148.80	8.87	319.29	0.00	26.60	26.60	2859.28
1990 06 16 12	51148.80	4.63	367.78	0.00	26.68	26.68	2814.82
1990 06 17 12	51148.80	4.65	206.69	0.00	26.62	26.62	2928.40
1990 06 18 12	51148.80	3.30	434.17	0.00	27.42	27.42	2902.25
1990 06 19 12	51148.80	0.18	575.51	0.00	28.68	28.68	2684.86
1990 06 20 12	51148.80	2.59	415.63	0.00	26.41	26.41	2423.98
1990 06 21 12	51148.80	14.83	412.64	0.00	28.27	28.27	3022.42
1990 06 22 12	51148.80	19.22	304.50	0.00	27.38	27.38	2951.88
1990 06 23 12	51148.80	9.69	536.89	0.00	25.62	25.62	2569.90
1990 06 24 12	51148.80	0.00	562.43	0.00	23.31	23.31	1968.18
1990 06 25 12	51148.80	0.00	582.27	0.00	23.81	23.81	1904.11
1990 06 26 12	51148.80	0.00	580.24	0.00	24.31	24.31	1989.18
1990 06 27 12	51148.80	0.00	571.80	0.00	26.02	26.02	2161.34
1990 06 28 12	51148.80	2.14	457.57	0.00	27.16	27.16	2345.84
1990 06 29 12	51148.80	0.00	562.15	0.00	26.75	26.75	2406.73
1990 06 30 12	51148.80	0.00	489.67	0.00	27.11	27.11	2682.01
1990 07 01 12	51148.80	1.30	550.28	0.00	27.59	27.59	2803.74
1990 07 02 12	51148.80	3.07	418.48	0.00	28.93	28.93	2973.40
1990 07 03 12	51148.80	9.63	640.78	0.00	28.26	28.26	2640.74
1990 07 04 12	51148.80	0.00	639.41	0.00	27.45	27.45	2642.55
1990 07 05 12	51070.14	0.00	598.11	0.00	26.91	26.91	2666.35
1990 07 06 12	50926.11	1.64	383.15	0.00	27.17	27.17	2894.84
1990 07 07 12	50803.20	0.08	362.59	0.00	28.13	28.13	2907.06
1990 07 08 12	50803.20	1.92	452.65	0.00	29.61	29.61	2907.69
1990 07 09 12	50803.20	10.31	434.69	0.00	29.34	29.34	2826.09
1990 07 10 12	50803.20	1.27	505.52	0.00	28.46	28.46	2765.06
1990 07 11 12	50803.20	2.68	375.00	0.00	28.20	28.20	2862.33
1990 07 12 12	50786.19	19.82	210.95	0.00	26.28	26.28	2882.39
1990 07 13 12	50580.52	19.55	345.89	0.00	25.35	25.35	2633.12
1990 07 14 12	50457.60	1.23	268.35	0.00	23.26	23.26	2397.50
1990 07 15 12	50457.60	0.05	502.20	0.00	22.49	22.49	1954.01
1990 07 16 12	50457.60	0.00	558.22	0.00	23.96	23.96	1966.85
1990 07 17 12	50457.60	2.93	334.47	0.00	24.64	24.64	2220.41
1990 07 18 12	50378.94	2.93	366.26	0.00	25.47	25.47	2423.73
1990 07 19 12	50121.57	2.80	376.85	0.00	25.88	25.88	2549.67
1990 07 20 12	50112.00	0.04	401.38	0.00	25.53	25.53	2635.24
1990 07 21 12	50112.00	0.52	447.10	0.00	26.54	26.54	2717.29
1990 07 22 12	50112.00	2.07	426.54	0.00	27.06	27.06	2818.34
1990 07 23 12	49958.57	6.97	397.84	0.00	27.21	27.21	2833.46
1990 07 24 12	49766.40	8.48	383.63	0.00	26.10	26.10	2660.65
1990 07 25 12	49766.40	0.32	638.64	0.00	26.30	26.30	2375.62
1990 07 26 12	49766.40	0.00	616.67	0.00	25.91	25.91	2220.14
1990 07 27 12	49687.74	0.00	526.27	0.00	27.52	27.52	2501.09
1990 07 28 12	49420.80	0.00	502.75	0.00	27.94	27.94	2501.01
1990 07 29 12	49420.80	0.41	475.46	0.00	27.90	27.90	2465.14
1990 07 30 12	49420.80	1.32	394.18	0.00	28.29	28.29	2635.45
1990 07 31 12	49267.38	1.40	458.01	0.00	28.30	28.30	2702.77
1990 08 01 12	49075.20	11.37	358.52	0.00	26.30	26.30	2540.02
