  33.71
 165.00
 577320463
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1986 06 22 12	51148.80	0.00	536.20	0.00	27.25	27.25	2049.89
1986 06 23 12	51148.80	2.01	425.39	0.00	27.26	27.26	2130.21
1986 06 24 12	51148.80	3.78	392.38	0.00	27.46	27.46	2153.13
1986 06 25 12	51148.80	1.04	535.73	0.00	26.34	26.34	1991.17
1986 06 26 12	51148.80	0.15	405.81	0.00	26.81	26.81	2142.72
1986 06 27 12	51148.80	0.96	462.45	0.00	27.12	27.12	2168.02
1986 06 28 12	51148.80	1.61	382.42	0.00	27.32	27.32	2250.59
1986 06 29 12	51148.80	1.91	334.62	0.00	26.52	26.52	2298.35
1986 06 30 12	51148.80	7.48	324.07	0.00	25.87	25.87	2309.94
1986 07 01 12	51148.80	3.59	330.30	0.00	26.37	26.37	2376.84
1986 07 02 12	51148.80	1.88	335.62	0.00	26.83	26.83	2327.25
1986 07 03 12	51148.80	0.49	493.03	0.00	24.88	24.88	1936.87
1986 07 04 12	51148.80	0.00	542.59	0.00	24.22	24.22	1772.80
1986 07 05 12	51070.14	0.81	489.38	0.00	25.09	25.09	1890.41
1986 07 06 12	50926.11	1.46	407.62	0.00	27.21	27.21	2140.23
1986 07 07 12	50803.20	0.40	519.77	0.00	27.18	27.18	2122.22
1986 07 08 12	50803.20	0.00	509.08	0.00	27.95	27.95	2245.37
1986 07 09 12	50803.20	0.76	399.38	0.00	28.00	28.00	2316.25
1986 07 10 12	50803.20	8.10	401.95	0.00	27.68	27.68	2307.19
1986 07 11 12	50803.20	4.12	361.62	0.00	27.89	27.89	2376.65
1986 07 12 12	50786.19	2.50	392.17	0.00	27.04	27.04	2288.48
1986 07 13 12	50580.52	4.93	358.61	0.00	27.43	27.43	2352.15
1986 07 14 12	50457.60	3.59	382.45	0.00	27.06	27.06	2234.75
1986 07 15 12	50457.60	0.72	507.05	0.00	27.02	27.02	2148.14
1986 07 16 12	50457.60	0.52	429.98	0.00	25.91	25.91	2161.24
1986 07 17 12	50457.60	2.47	374.63	0.00	27.19	27.19	2301.27
1986 07 18 12	50378.94	0.94	478.58	0.00	27.52	27.52	2264.57
1986 07 19 12	50121.57	0.91	397.70	0.00	28.06	28.06	2390.21
1986 07 20 12	50112.00	2.76	385.16	0.00	28.42	28.42	2479.94
1986 07 21 12	50112.00	1.47	393.34	0.00	28.92	28.92	2473.45
1986 07 22 12	50112.00	0.21	505.68	0.00	28.21	28.21	2318.38
1986 07 23 12	49958.57	1.03	377.94	0.00	28.11	28.11	2396.92
1986 07 24 12	49766.40	2.47	378.43	0.00	28.44	28.44	2458.10
1986 07 25 12	49766.40	23.94	358.69	0.00	27.74	27.74	2404.29
1986 07 26 12	49766.40	7.74	499.64	0.00	27.60	27.60	2342.38
1986 07 27 12	49687.74	3.50	366.57	0.00	28.04	28.04	2440.50
1986 07 28 12	49420.80	5.11	384.78	0.00	27.60	27.60	2386.15
1986 07 29 12	49420.80	4.40	445.71	0.00	28.40	28.40	2457.09
1986 07 30 12	49420.80	1.83	481.93	0.00	29.41	29.41	2491.33
1986 07 31 12	49267.38	0.27	522.45	0.00	29.14	29.14	2385.63
1986 08 01 12	49075.20	0.00	501.62	0.00	30.06	30.06	2508.59
1986 08 02 12	49075.20	0.00	496.90	0.00	28.81	28.81	2342.29
1986 08 03 12	49075.20	0.00	495.11	0.00	25.41	25.41	2001.94
1986 08 04 12	48739.17	0.00	530.62	0.00	24.99	24.99	1911.95
1986 08 05 12	48729.60	5.26	424.25	0.00	24.96	24.96	1917.80
1986 08 06 12	48729.60	4.28	395.11	0.00	25.54	25.54	2013.94
1986 08 07 12	48650.94	11.51	387.91	0.00	26.29	26.29	2153.82
1986 08 08 12	48384.00	20.48	368.56	0.00	26.98	26.98	2269.14
1986 08 09 12	48384.00	12.06	370.82	0.00	25.73	25.73	2164.96
1986 08 10 12	48384.00	9.12	359.29	0.00	25.90	25.90	2205.52
1986 08 11 12	48038.40	2.33	466.26	0.00	25.50	25.50	2121.97
1986 08 12 12	48038.40	0.00	486.49	0.00	24.39	24.39	1993.01
1986 08 13 12	48038.40	0.00	493.38	0.00	24.92	24.92	2027.44
1986 08 14 12	47692.80	0.00	490.03	0.00	25.15	25.15	2098.60
1986 08 15 12	47692.80	10.17	351.89	0.00	26.63	26.63	2352.18
1986 08 16 12	47692.80	7.98	330.26	0.00	26.56	26.56	2378.11
1986 08 17 12	47347.20	1.55	435.59	0.00	25.98	25.98	2279.13
1986 08 18 12	47347.20	0.01	433.65	0.00	26.11	26.11	2282.26
1986 08 19 12	47347.20	0.00	459.87	0.00	25.34	25.34	2148.68
1986 08 20 12	47001.60	3.24	395.70	0.00	24.91	24.91	2060.37
1986 08 21 12	47001.60	1.08	496.72	0.00	24.73	24.73	2001.36
1986 08 22 12	47001.60	4.76	368.80	0.00	25.14	25.14	2135.05
1986 08 23 12	46656.00	4.27	374.20	0.00	25.51	25.51	2193.27
1986 08 24 12	46656.00	0.89	464.31	0.00	25.89	25.89	2205.65
1986 08 25 12	46656.00	2.45	359.15	0.00	26.48	26.48	2282.38
1986 08 26 12	46310.40	14.18	354.77	0.00	27.19	27.19	2361.48
1986 08 27 12	46310.40	10.41	346.28	0.00	27.33	27.33	2326.47
1986 08 28 12	46310.40	1.99	477.43	0.00	25.18	25.18	1911.52
1986 08 29 12	45964.80	0.00	507.06	0.00	19.02	19.02	1373.79
1986 08 30 12	45964.80	0.06	354.06	0.00	18.10	18.10	1469.00
1986 08 31 12	45964.80	0.70	217.32	0.00	18.54	18.54	1680.23
1986 09 01 12	45619.20	0.65	201.13	0.00	19.24	19.24	1866.69
1986 09 02 12	45619.20	3.15	277.02	0.00	22.72	22.72	2159.94
1986 09 03 12	45334.21	1.87	303.43	0.00	24.32	24.32	2248.42
1986 09 04 12	45273.60	6.10	310.54	0.00	25.46	25.46	2322.52
1986 09 05 12	45273.60	8.13	331.80	0.00	25.30	25.30	2199.19
1986 09 06 12	44928.00	2.06	461.82	0.00	24.09	24.09	1964.79
1986 09 07 12	44928.00	0.00	472.83	0.00	23.55	23.55	1863.25
1986 09 08 12	44928.00	0.00	486.70	0.00	23.08	23.08	1766.24
1986 09 09 12	44582.40	0.00	492.83	0.00	22.81	22.81	1757.31
1986 09 10 12	44582.40	7.82	357.77	0.00	24.37	24.37	1995.77
1986 09 11 12	44582.40	15.27	330.07	0.00	25.06	25.06	2145.10
1986 09 12 12	44236.80	4.68	402.64	0.00	25.35	25.35	2071.18
1986 09 13 12	44236.80	0.15	506.73	0.00	21.11	21.11	1524.18
1986 09 14 12	43891.20	0.00	502.90	0.00	20.70	20.70	1494.63
1986 09 15 12	43891.20	0.00	478.55	0.00	22.36	22.36	1714.83
1986 09 16 12	43891.20	13.16	366.51	0.00	23.78	23.78	1916.31
1986 09 17 12	43545.60	5.26	345.89	0.00	24.43	24.43	2010.39
1986 09 18 12	43545.60	0.29	418.17	0.00	24.51	24.51	2061.48
1986 09 19 12	43545.60	0.00	407.07	0.00	23.97	23.97	2057.20
1986 09 20 12	43200.00	0.71	356.67	0.00	24.57	24.57	2078.62
1986 09 21 12	43200.00	0.55	357.13	0.00	25.23	25.23	2094.19
1986 09 22 12	42854.40	1.11	345.92	0.00	25.78	25.78	2122.52
1986 09 23 12	42854.40	0.33	448.56	0.00	25.07	25.07	2026.14
1986 09 24 12	42854.40	0.00	426.79	0.00	25.18	25.18	2097.92
1986 09 25 12	42508.80	0.00	421.68	0.00	25.37	25.37	2158.44
1986 09 26 12	42508.80	0.00	427.43	0.00	26.04	26.04	2186.97
1986 09 27 12	42508.80	0.00	438.57	0.00	25.71	25.71	2091.15
1986 09 28 12	42163.20	0.00	446.49	0.00	25.99	25.99	2072.27
1986 09 29 12	42163.20	0.00	439.57	0.00	26.27	26.27	2139.56
1986 09 30 12	41817.60	1.09	312.74	0.00	26.98	26.98	2298.64
1986 10 01 12	41817.60	3.22	314.27	0.00	26.46	26.46	2276.85
1986 10 02 12	41817.60	0.95	395.23	0.00	26.18	26.18	2239.87
1986 10 03 12	41472.00	0.00	395.65	0.00	25.90	25.90	2215.43
1986 10 04 12	41472.00	0.00	385.99	0.00	25.60	25.60	2165.17
1986 10 05 12	41472.00	0.05	347.46	0.00	24.10	24.10	1932.45
1986 10 06 12	41126.40	0.95	334.00	0.00	21.55	21.55	1609.15
1986 10 07 12	41126.40	1.11	365.47	0.00	19.55	19.55	1429.92
1986 10 08 12	41065.79	10.07	326.12	0.00	18.11	18.11	1354.21
1986 10 09 12	40780.80	14.37	302.20	0.00	19.62	19.62	1536.91
1986 10 10 12	40780.80	3.73	260.19	0.00	19.63	19.63	1675.56
1986 10 11 12	40435.20	7.63	241.02	0.00	19.62	19.62	1715.66
1986 10 12 12	40435.20	19.25	182.13	0.00	18.10	18.10	1603.54
1986 10 13 12	40435.20	13.14	226.76	0.00	16.72	16.72	1438.87
1986 10 14 12	40089.60	2.52	409.89	0.00	14.80	14.80	1142.03
1986 10 15 12	40089.60	0.00	410.14	0.00	13.12	13.12	968.66
1986 10 16 12	40089.60	0.00	439.19	0.00	11.13	11.13	824.41
1986 10 17 12	39744.00	0.00	438.06	0.00	11.79	11.79	854.46
1986 10 18 12	39744.00	0.00	429.41	0.00	13.88	13.88	969.79
1986 10 19 12	39744.00	0.00	422.27	0.00	14.62	14.62	998.10
1986 10 20 12	39398.40	0.00	427.10	0.00	13.90	13.90	947.19
1986 10 21 12	39398.40	0.00	424.48	0.00	14.02	14.02	962.41
1986 10 22 12	39398.40	0.00	409.36	0.00	15.53	15.53	1073.45
1986 10 23 12	39052.80	22.91	296.29	0.00	15.24	15.24	1129.24
1986 10 24 12	39052.80	30.36	237.53	0.00	15.83	15.83	1298.61
1986 10 25 12	39052.80	9.54	190.24	0.00	16.00	16.00	1383.70
1986 10 26 12	38707.20	0.66	286.28	0.00	14.16	14.16	1215.17
1986 10 27 12	38707.20	0.00	333.21	0.00	13.09	13.09	1078.06
1986 10 28 12	38707.20	0.00	397.39	0.00	12.62	12.62	952.55
1986 10 29 12	38361.60	0.00	399.35	0.00	13.89	13.89	974.60
1986 10 30 12	38361.60	0.00	396.57	0.00	14.76	14.76	1017.73
1986 10 31 12	38361.60	0.00	389.21	0.00	15.98	15.98	1110.10
1986 11 01 12	38016.00	0.00	367.85	0.00	17.30	17.30	1247.73
1986 11 02 12	38016.00	0.98	287.63	0.00	16.70	16.70	1247.92
1986 11 03 12	38016.00	1.14	276.80	0.00	16.76	16.76	1240.81
1986 11 04 12	37749.06	1.99	265.77	0.00	16.20	16.20	1231.16
1986 11 05 12	37670.40	1.42	247.30	0.00	16.83	16.83	1336.06
1986 11 06 12	37670.40	2.38	232.37	0.00	16.82	16.82	1384.87
1986 11 07 12	37660.83	8.95	177.37	0.00	16.82	16.82	1508.70
1986 11 08 12	37324.80	4.84	167.54	0.00	18.95	18.95	1799.98
1986 11 09 12	37324.80	2.27	195.17	0.00	21.63	21.63	1892.49
1986 11 10 12	37324.80	1.82	271.45	0.00	15.30	15.30	1146.94
1986 11 11 12	37132.62	3.85	253.59	0.00	14.89	14.89	1080.31
1986 11 12 12	36979.20	2.20	202.60	0.00	11.91	11.91	956.03
1986 11 13 12	36979.20	0.36	346.82	0.00	7.32	7.32	646.88
1986 11 14 12	36979.20	0.77	232.33	0.00	2.05	2.05	476.95
1986 11 15 12	36712.26	1.31	242.88	0.00	3.93	3.93	613.78
1986 11 16 12	36633.60	1.62	197.75	0.00	9.80	9.80	969.60
1986 11 17 12	36633.60	0.43	240.92	0.00	15.04	15.04	1377.45
1986 11 18 12	36633.60	1.56	206.67	0.00	18.75	18.75	1603.89
1986 11 19 12	36441.43	15.70	259.38	0.00	14.10	14.10	1055.24
1986 11 20 12	36288.00	10.65	200.48	0.00	11.55	11.55	922.63
1986 11 21 12	36288.00	5.66	267.41	0.00	8.17	8.17	693.75
1986 11 22 12	36288.00	12.97	261.00	0.00	7.43	7.43	646.95
1986 11 23 12	36278.43	21.94	250.55	0.00	9.31	9.31	825.53
1986 11 24 12	36021.06	28.98	182.91	0.00	14.60	14.60	1268.15
1986 11 25 12	35942.40	18.66	155.20	0.00	15.40	15.40	1398.28
1986 11 26 12	35942.40	3.84	196.03	0.00	16.22	16.22	1378.73
1986 11 27 12	35942.40	0.72	162.34	0.00	12.16	12.16	1087.28
1986 11 28 12	35942.40	3.15	122.90	0.00	9.76	9.76	1005.12
1986 11 29 12	35819.48	7.69	123.72	0.00	10.53	10.53	1091.80
1986 11 30 12	35613.81	6.36	183.72	0.00	13.02	13.02	1198.64
1986 12 01 12	35596.80	2.94	156.88	0.00	12.88	12.88	1166.77
1986 12 02 12	35596.80	0.93	140.60	0.00	10.71	10.71	1023.56
1986 12 03 12	35596.80	0.14	265.49	0.00	7.81	7.81	797.87
1986 12 04 12	35596.80	0.00	327.08	0.00	5.82	5.82	616.23
1986 12 05 12	35596.80	0.00	334.25	0.00	4.80	4.80	517.65
1986 12 06 12	35473.89	1.25	267.57	0.00	3.21	3.21	447.37
1986 12 07 12	35329.86	9.22	266.70	0.00	4.52	4.52	499.43
1986 12 08 12	35251.20	8.75	243.19	0.00	8.11	8.11	750.85
1986 12 09 12	35251.20	14.57	199.95	0.00	14.58	14.58	1192.20
1986 12 10 12	35251.20	7.58	222.60	0.00	12.89	12.89	1011.16
1986 12 11 12	35251.20	1.33	183.78	0.00	6.71	6.71	727.07
1986 12 12 12	35251.20	0.46	181.45	0.00	5.05	5.05	662.29
1986 12 13 12	35251.20	0.13	305.94	0.00	3.25	3.25	534.72
1986 12 14 12	35251.20	0.50	229.16	0.00	2.67	2.67	511.33
1986 12 15 12	35251.20	0.30	215.86	0.00	4.13	4.13	622.14
1986 12 16 12	35251.20	0.36	200.48	0.00	7.37	7.37	807.18
1986 12 17 12	35251.20	1.71	211.98	0.00	11.11	11.11	977.63
1986 12 18 12	35251.20	2.07	175.53	0.00	10.88	10.88	946.00
1986 12 19 12	35251.20	0.51	294.97	0.00	6.31	6.31	676.21
1986 12 20 12	35251.20	0.00	322.71	0.00	5.43	5.43	577.91
1986 12 21 12	35251.20	1.23	286.22	0.00	6.55	6.55	621.92
1986 12 22 12	35251.20	16.06	218.30	0.00	7.42	7.42	711.40
1986 12 23 12	35251.20	16.46	181.32	0.00	6.79	6.79	748.53
1986 12 24 12	35251.20	4.15	188.94	0.00	6.92	6.92	754.73
1986 12 25 12	35251.20	0.14	246.44	0.00	4.99	4.99	655.33
1986 12 26 12	35251.20	0.00	273.69	0.00	3.76	3.76	588.24
1986 12 27 12	35251.20	0.00	273.39	0.00	2.86	2.86	540.07
1986 12 28 12	35251.20	0.00	261.09	0.00	1.58	1.58	494.42
1986 12 29 12	35251.20	0.00	268.01	0.00	0.89	0.89	469.34
1986 12 30 12	35251.20	0.00	291.24	0.00	1.19	1.19	468.54
1986 12 31 12	35251.20	0.00	303.78	0.00	2.00	2.00	479.04
1987 01 01 12	35251.20	0.00	296.30	0.00	1.71	1.71	469.33
1987 01 02 12	35251.20	0.00	321.98	0.00	2.12	2.12	457.58
1987 01 03 12	35268.21	2.02	240.44	0.00	1.44	1.44	445.59
1987 01 04 12	35404.62	1.17	228.32	0.00	3.36	3.36	529.57
1987 01 05 12	35536.19	0.17	332.83	0.00	2.70	2.70	468.23
1987 01 06 12	35596.80	0.00	341.10	0.00	4.40	4.40	487.70
1987 01 07 12	35596.80	0.00	336.32	0.00	6.90	6.90	589.38
1987 01 08 12	35596.80	2.14	254.87	0.00	7.61	7.61	620.30
1987 01 09 12	35596.80	3.53	252.98	0.00	5.69	5.69	557.41
1987 01 10 12	35596.80	1.15	283.41	0.00	5.89	5.89	579.21
1987 01 11 12	35675.46	0.07	285.10	0.00	3.14	3.14	501.00
1987 01 12 12	35932.83	0.00	337.49	0.00	-0.03	-0.03	389.30
1987 01 13 12	35942.40	2.37	274.17	0.00	3.44	3.44	461.84
1987 01 14 12	35942.40	3.94	269.42	0.00	7.54	7.54	642.66
1987 01 15 12	35942.40	1.09	128.55	0.00	9.54	9.54	915.78
1987 01 16 12	35942.40	11.99	118.19	0.00	9.52	9.52	1000.25
1987 01 17 12	36165.09	36.47	116.59	0.00	8.89	8.89	966.41
1987 01 18 12	36288.00	39.29	154.92	0.00	9.58	9.58	960.24
1987 01 19 12	36288.00	9.49	307.60	0.00	7.87	7.87	758.82
1987 01 20 12	36288.00	0.97	213.76	0.00	3.08	3.08	558.41
1987 01 21 12	36305.01	2.19	165.20	0.00	1.88	1.88	547.10
1987 01 22 12	36624.03	1.06	189.71	0.00	1.16	1.16	504.43
1987 01 23 12	36633.60	9.12	278.85	0.00	-0.12	-0.12	409.92
1987 01 24 12	36633.60	15.65	279.82	0.00	0.94	0.94	443.35
1987 01 25 12	36633.60	7.18	265.80	0.00	4.31	4.31	560.80
1987 01 26 12	36918.59	0.99	371.99	0.00	1.86	1.86	427.60
1987 01 27 12	36979.20	0.00	366.60	0.00	-3.29	-3.29	294.98
1987 01 28 12	36979.20	0.00	388.59	0.00	-2.18	-2.18	338.18
1987 01 29 12	36979.20	0.01	396.51	0.00	4.00	4.00	527.94
1987 01 30 12	37315.23	0.00	391.80	0.00	10.18	10.18	733.67
1987 01 31 12	37324.80	2.45	306.91	0.00	8.69	8.69	647.63
1987 02 01 12	37324.80	7.40	297.65	0.00	8.07	8.07	681.08
1987 02 02 12	37403.46	2.61	271.01	0.00	9.72	9.72	832.67
1987 02 03 12	37670.40	0.14	301.60	0.00	10.02	10.02	897.12
1987 02 04 12	37670.40	0.37	301.69	0.00	10.19	10.19	857.69
1987 02 05 12	37670.40	5.93	246.24	0.00	9.77	9.77	871.89
1987 02 06 12	38006.43	15.63	220.84	0.00	10.15	10.15	925.94
1987 02 07 12	38016.00	4.57	270.71	0.00	7.33	7.33	765.56
1987 02 08 12	38016.00	0.00	415.55	0.00	6.40	6.40	593.43
1987 02 09 12	38238.69	0.00	422.16	0.00	6.07	6.07	484.77
1987 02 10 12	38361.60	0.00	425.45	0.00	2.10	2.10	378.79
1987 02 11 12	38361.60	0.00	433.07	0.00	3.84	3.84	441.65
1987 02 12 12	38440.26	0.50	380.49	0.00	8.12	8.12	608.05
1987 02 13 12	38707.20	0.70	335.55	0.00	10.82	10.82	719.72
1987 02 14 12	38707.20	16.12	316.34	0.00	12.18	12.18	835.91
1987 02 15 12	38724.21	22.66	294.32	0.00	14.97	14.97	1083.89
1987 02 16 12	39052.80	6.95	257.53	0.00	13.59	13.59	1047.18
1987 02 17 12	39052.80	0.59	268.04	0.00	8.76	8.76	781.95
1987 02 18 12	39069.81	0.07	201.38	0.00	3.47	3.47	587.38
1987 02 19 12	39398.40	0.27	241.49	0.00	0.33	0.33	494.08
1987 02 20 12	39398.40	4.49	285.86	0.00	3.86	3.86	609.25
1987 02 21 12	39415.41	8.89	170.52	0.00	6.16	6.16	749.45
1987 02 22 12	39744.00	9.64	197.95	0.00	7.20	7.20	800.35
1987 02 23 12	39744.00	2.39	365.43	0.00	5.72	5.72	679.46
1987 02 24 12	39897.43	0.62	295.58	0.00	6.49	6.49	707.28
1987 02 25 12	40089.60	19.79	258.78	0.00	8.25	8.25	835.03
1987 02 26 12	40089.60	32.47	224.49	0.00	10.94	10.94	1004.31
1987 02 27 12	40425.63	30.18	108.33	0.00	8.91	8.91	938.30
1987 02 28 12	40435.20	16.98	179.39	0.00	7.58	7.58	885.49
1987 03 01 12	40435.20	3.27	397.30	0.00	10.15	10.15	924.15
1987 03 02 12	40780.80	0.00	356.87	0.00	9.35	9.35	828.24
1987 03 03 12	40780.80	0.00	483.70	0.00	7.48	7.48	639.64
1987 03 04 12	40780.80	0.00	488.47	0.00	9.33	9.33	640.16
1987 03 05 12	41126.40	0.00	489.26	0.00	9.34	9.34	643.10
1987 03 06 12	41126.40	3.10	371.46	0.00	10.80	10.80	726.14
1987 03 07 12	41126.40	7.33	360.56	0.00	11.59	11.59	824.79
1987 03 08 12	41472.00	7.23	319.56	0.00	12.64	12.64	987.65
1987 03 09 12	41472.00	1.71	242.84	0.00	12.01	12.01	1063.77
1987 03 10 12	41817.60	1.01	370.25	0.00	11.82	11.82	937.83
1987 03 11 12	41817.60	1.73	318.72	0.00	8.50	8.50	734.90
1987 03 12 12	41817.60	0.47	340.12	0.00	5.13	5.13	635.65
1987 03 13 12	42163.20	0.00	506.07	0.00	4.58	4.58	548.27
1987 03 14 12	42163.20	0.00	518.63	0.00	7.32	7.32	588.21
1987 03 15 12	42163.20	0.00	518.31	0.00	10.42	10.42	755.72
1987 03 16 12	42508.80	2.38	422.33	0.00	14.22	14.22	1059.82
1987 03 17 12	42508.80	24.22	367.60	0.00	15.81	15.81	1181.45
1987 03 18 12	42844.83	12.59	336.57	0.00	16.45	16.45	1234.90
1987 03 19 12	42854.40	1.60	450.80	0.00	13.00	13.00	1027.56
1987 03 20 12	42854.40	0.00	501.12	0.00	13.34	13.34	986.86
1987 03 21 12	43200.00	0.00	516.70	0.00	14.02	14.02	968.02
1987 03 22 12	43200.00	0.41	463.96	0.00	15.90	15.90	1057.84
1987 03 23 12	43200.00	4.05	388.66	0.00	16.85	16.85	1137.37
1987 03 24 12	43545.60	1.87	376.22	0.00	17.65	17.65	1225.65
1987 03 25 12	43545.60	0.19	515.34	0.00	15.02	15.02	1037.02
1987 03 26 12	43555.17	0.00	517.46	0.00	15.02	15.02	1038.44
1987 03 27 12	43891.20	0.00	513.29	0.00	15.98	15.98	1070.63
1987 03 28 12	43891.20	5.29	408.41	0.00	14.43	14.43	963.57
1987 03 29 12	44236.80	15.48	392.98	0.00	16.56	16.56	1083.02
1987 03 30 12	44236.80	6.38	396.30	0.00	15.43	15.43	946.08
1987 03 31 12	44236.80	0.60	481.00	0.00	5.10	5.10	539.22
1987 04 01 12	44582.40	1.73	414.75	0.00	2.74	2.74	485.54
1987 04 02 12	44582.40	5.58	417.00	0.00	6.73	6.73	579.27
1987 04 03 12	44582.40	1.67	491.84	0.00	6.21	6.21	572.70
1987 04 04 12	44928.00	0.00	491.65	0.00	3.18	3.18	505.95
1987 04 05 12	44928.00	0.00	521.98	0.00	5.12	5.12	584.65
1987 04 06 12	45273.60	0.00	547.61	0.00	8.32	8.32	673.72
1987 04 07 12	45273.60	0.00	551.38	0.00	9.52	9.52	712.84
1987 04 08 12	45273.60	0.00	506.54	0.00	10.08	10.08	808.22
1987 04 09 12	45619.20	1.05	467.17	0.00	12.92	12.92	934.03
1987 04 10 12	45619.20	2.97	423.21	0.00	14.56	14.56	946.49
1987 04 11 12	45619.20	1.14	442.29	0.00	16.17	16.17	1077.21
1987 04 12 12	45964.80	0.77	377.45	0.00	18.05	18.05	1373.70
1987 04 13 12	45964.80	0.77	330.31	0.00	20.25	20.25	1672.17
1987 04 14 12	45974.37	1.56	359.99	0.00	20.96	20.96	1611.07
1987 04 15 12	46310.40	0.52	463.09	0.00	16.16	16.16	1137.24
1987 04 16 12	46310.40	0.02	347.36	0.00	14.04	14.04	1141.41
1987 04 17 12	46502.57	0.00	422.51	0.00	14.06	14.06	1158.85
1987 04 18 12	46656.00	0.00	548.11	0.00	14.84	14.84	1061.01
1987 04 19 12	46656.00	0.00	559.36	0.00	16.44	16.44	1088.67
1987 04 20 12	46984.59	0.00	564.04	0.00	18.56	18.56	1188.99
1987 04 21 12	47001.60	0.00	562.61	0.00	20.65	20.65	1326.75
1987 04 22 12	47001.60	0.00	552.96	0.00	22.81	22.81	1479.24
1987 04 23 12	47330.19	0.00	548.19	0.00	21.20	21.20	1357.94
1987 04 24 12	47347.20	0.00	552.08	0.00	17.97	17.97	1162.69
1987 04 25 12	47347.20	0.00	526.51	0.00	16.44	16.44	1100.04
1987 04 26 12	47675.79	0.00	574.83	0.00	15.69	15.69	1010.83
1987 04 27 12	47692.80	0.00	557.10	0.00	17.77	17.77	1097.42
1987 04 28 12	47692.80	0.00	576.34	0.00	19.95	19.95	1144.61
1987 04 29 12	47959.74	0.00	595.49	0.00	15.72	15.72	881.86
1987 04 30 12	48038.40	0.00	591.16	0.00	16.63	16.63	997.52
1987 05 01 12	48038.40	1.04	433.94	0.00	20.95	20.95	1338.65
1987 05 02 12	48161.31	0.88	415.62	0.00	22.04	22.04	1495.60
1987 05 03 12	48384.00	0.96	428.59	0.00	21.78	21.78	1602.99
1987 05 04 12	48384.00	0.43	408.27	0.00	21.37	21.37	1655.85
1987 05 05 12	48393.57	1.06	423.28	0.00	21.58	21.58	1669.76
1987 05 06 12	48729.60	1.95	353.64	0.00	20.95	20.95	1659.81
1987 05 07 12	48729.60	1.35	312.04	0.00	20.84	20.84	1671.06
1987 05 08 12	48729.60	0.27	515.80	0.00	19.30	19.30	1365.78
1987 05 09 12	48996.54	0.16	525.33	0.00	17.89	17.89	1141.66
1987 05 10 12	49075.20	8.53	421.39	0.00	19.62	19.62	1333.12
1987 05 11 12	49075.20	8.64	329.66	0.00	20.24	20.24	1586.55
1987 05 12 12	49084.77	3.87	421.21	0.00	20.90	20.90	1661.77
1987 05 13 12	49420.80	3.95	378.06	0.00	21.10	21.10	1665.15
1987 05 14 12	49420.80	1.57	356.22	0.00	22.42	22.42	1823.42
1987 05 15 12	49420.80	0.62	337.18	0.00	22.75	22.75	1883.11
1987 05 16 12	49481.41	5.09	351.38	0.00	22.37	22.37	1826.86
1987 05 17 12	49766.40	4.06	366.50	0.00	22.93	22.93	1855.23
1987 05 18 12	49766.40	4.31	320.62	0.00	23.33	23.33	1957.80
1987 05 19 12	49766.40	1.17	413.97	0.00	23.16	23.16	1965.79
1987 05 20 12	49775.97	0.59	357.32	0.00	24.07	24.07	2054.60
1987 05 21 12	50094.99	4.42	362.37	0.00	24.69	24.69	2062.66
1987 05 22 12	50112.00	8.43	359.40	0.00	24.91	24.91	2053.74
1987 05 23 12	50112.00	2.99	470.11	0.00	24.33	24.33	1941.52
1987 05 24 12	50112.00	1.24	383.00	0.00	24.31	24.31	1950.05
1987 05 25 12	50234.91	2.42	379.58	0.00	24.88	24.88	1960.09
1987 05 26 12	50457.60	0.69	520.27	0.00	24.00	24.00	1773.44
1987 05 27 12	50457.60	0.00	547.46	0.00	23.78	23.78	1667.10
1987 05 28 12	50457.60	0.95	455.13	0.00	24.02	24.02	1686.68
1987 05 29 12	50457.60	0.99	402.62	0.00	24.79	24.79	1803.06
1987 05 30 12	50467.17	14.46	403.37	0.00	24.81	24.81	1817.84
1987 05 31 12	50724.54	7.11	392.90	0.00	24.61	24.61	1835.08
1987 06 01 12	50803.20	1.76	418.50	0.00	24.41	24.41	1813.84
1987 06 02 12	50803.20	0.68	473.10	0.00	24.83	24.83	1842.99
1987 06 03 12	50803.20	4.12	419.26	0.00	25.56	25.56	1922.63
1987 06 04 12	50803.20	1.33	524.06	0.00	25.50	25.50	1757.32
1987 06 05 12	50803.20	0.00	582.01	0.00	21.29	21.29	1296.64
1987 06 06 12	50812.77	0.00	589.68	0.00	21.29	21.29	1262.55
1987 06 07 12	50995.38	0.00	574.31	0.00	22.98	22.98	1388.98
1987 06 08 12	51131.79	0.00	575.02	0.00	23.30	23.30	1413.51
1987 06 09 12	51148.80	0.00	575.19	0.00	23.89	23.89	1459.69
1987 06 10 12	51148.80	0.00	562.60	0.00	24.47	24.47	1564.22
1987 06 11 12	51148.80	6.44	417.43	0.00	24.55	24.55	1735.17
1987 06 12 12	51148.80	18.64	393.67	0.00	25.85	25.85	1950.82
1987 06 13 12	51148.80	23.67	351.68	0.00	25.24	25.24	2052.85
1987 06 14 12	51148.80	9.81	287.03	0.00	24.18	24.18	2083.84
1987 06 15 12	51148.80	4.66	387.20	0.00	23.96	23.96	1925.86
